Ajdovšèina
 ;"2014";11;13;17;19;-6;-6
Braslovèe
 ;"2010";33;24;18;16;15;8
 ;"2011";32;32;19;19;13;13
 ;"2012";31;23;14;18;17;5
 ;"2013";21;26;24;23;-3;3
 ;"2014";31;28;22;20;9;8
Brda
 ;"2010";27;25;25;32;2;-7
 ;"2011";30;26;24;32;6;-6
 ;"2012";34;25;43;36;-9;-11
 ;"2013";23;23;40;42;-17;-19
 ;"2014";25;31;32;36;-7;-5
Brezovica
 ;"2010";64;81;44;25;20;56
 ;"2011";75;72;45;35;30;37
 ;"2012";74;71;57;58;17;13
 ;"2013";78;62;55;62;23;0
 ;"2014";75;56;58;76;17;-20
Brežice
 ;"2010";110;124;144;131;-34;-7
 ;"2011";111;108;117;147;-6;-39
 ;"2012";117;112;129;129;-12;-17
 ;"2013";118;110;137;143;-19;-33
 ;"2014";122;88;144;156;-22;-68
Cankova
 ;"2010";4;6;8;8;-4;-2
 ;"2011";11;9;11;8;0;1
 ;"2012";6;12;13;11;-7;1
 ;"2013";11;5;8;11;3;-6
 ;"2014";8;4;12;10;-4;-6
Celje
 ;"2010";259;275;212;201;47;74
 ;"2011";247;256;183;197;64;59
 ;"2012";270;256;210;235;60;21
 ;"2013";249;257;191;188;58;69
 ;"2014";274;234;199;233;75;1
Cerklje na Gorenjskem
 ;"2010";43;36;17;25;26;11
 ;"2011";42;46;16;26;26;20
 ;"2012";52;43;31;26;21;17
 ;"2013";55;32;20;25;35;7
 ;"2014";53;29;24;31;29;-2
Cerknica
 ;"2010";56;53;50;68;6;-15
 ;"2011";60;73;47;55;13;18
 ;"2012";62;61;59;62;3;-1
 ;"2013";64;59;60;61;4;-2
 ;"2014";63;72;66;81;-3;-9
Cerkno
 ;"2010";24;26;20;16;4;10
 ;"2011";23;23;20;19;3;4
 ;"2012";26;25;17;20;9;5
 ;"2013";25;21;25;17;0;4
 ;"2014";21;26;19;14;2;12
Cerkvenjak
 ;"2010";6;13;16;17;-10;-4
 ;"2011";8;15;11;10;-3;5
 ;"2012";15;9;15;11;0;-2
 ;"2013";16;6;13;16;3;-10
 ;"2014";13;9;13;13;0;-4
Cirkulane
 ;"2010";9;7;9;12;0;-5
 ;"2011";4;14;13;12;-9;2
 ;"2012";13;13;13;16;0;-3
 ;"2013";11;13;8;14;3;-1
 ;"2014";11;10;10;16;1;-6
Èrenšovci
 ;"2010";20;27;20;24;0;3
 ;"2011";18;20;25;20;-7;0
 ;"2012";18;17;28;21;-10;-4
 ;"2013";22;21;25;18;-3;3
 ;"2014";25;22;26;19;-1;3
Èrna na Koroškem
 ;"2010";9;16;22;9;-13;7
 ;"2011";7;6;23;14;-16;-8
 ;"2012";17;13;21;19;-4;-6
 ;"2013";14;16;16;15;-2;1
 ;"2014";8;21;16;18;-8;3
Èrnomelj
 ;"2010";89;61;61;75;28;-14
 ;"2011";75;73;80;75;-5;-2
 ;"2012";78;69;70;78;8;-9
 ;"2013";78;68;76;85;2;-17
 ;"2014";71;63;78;89;-7;-26
Destrnik
 ;"2010";14;14;8;11;6;3
 ;"2011";10;16;21;7;-11;9
 ;"2012";16;10;14;12;2;-2
 ;"2013";17;13;14;12;3;1
 ;"2014";10;10;12;15;-2;-5
Divaèa
 ;"2010";23;18;20;17;3;1
 ;"2011";11;9;20;13;-9;-4
 ;"2012";20;12;16;18;4;-6
 ;"2013";26;14;22;8;4;6
 ;"2014";24;13;16;15;8;-2
Dobje
 ;"2010";8;4;3;3;5;1
 ;"2011";6;6;3;6;3;0
 ;"2012";9;6;6;7;3;-1
 ;"2013";6;9;5;6;1;3
 ;"2014";5;8;2;3;3;5
Dobrepolje
 ;"2010";32;13;23;30;9;-17
 ;"2011";31;23;20;34;11;-11
 ;"2012";21;15;32;27;-11;-12
 ;"2013";26;14;27;25;-1;-11
 ;"2014";17;19;25;24;-8;-5
Dobrna
 ;"2010";9;12;13;10;-4;2
 ;"2011";14;6;10;11;4;-5
 ;"2012";8;20;10;5;-2;15
 ;"2013";12;14;13;8;-1;6
 ;"2014";10;8;12;10;-2;-2
Dobrova - Polhov Gradec
 ;"2010";55;46;27;21;28;25
 ;"2011";58;41;22;21;36;20
 ;"2012";36;50;22;22;14;28
 ;"2013";54;39;28;26;26;13
 ;"2014";49;51;22;26;27;25
Dobrovnik/Dobronak
 ;"2010";5;8;8;4;-3;4
 ;"2011";5;6;6;8;-1;-2
 ;"2012";6;8;4;6;2;2
 ;"2013";4;3;6;8;-2;-5
 ;"2014";5;8;10;11;-5;-3
Dol pri Ljubljani
 ;"2010";39;25;17;18;22;7
 ;"2011";47;43;14;22;33;21
 ;"2012";41;47;15;11;26;36
 ;"2013";37;25;21;9;16;16
 ;"2014";43;40;11;14;32;26
Dolenjske Toplice
 ;"2010";19;15;17;16;2;-1
 ;"2011";21;21;10;9;11;12
 ;"2012";21;14;9;10;12;4
 ;"2013";15;17;19;12;-4;5
 ;"2014";20;12;13;8;7;4
Domžale
 ;"2010";213;180;111;99;102;81
 ;"2011";225;174;105;124;120;50
 ;"2012";199;202;118;114;81;88
 ;"2013";172;186;120;122;52;64
 ;"2014";201;186;131;97;70;89
Dornava
 ;"2010";20;11;12;13;8;-2
 ;"2011";11;17;11;16;0;1
 ;"2012";12;11;16;17;-4;-6
 ;"2013";13;13;20;13;-7;0
 ;"2014";19;12;13;12;6;0
Dravograd
 ;"2010";50;50;45;68;5;-18
 ;"2011";61;48;60;51;1;-3
 ;"2012";42;48;50;56;-8;-8
 ;"2013";49;49;61;64;-12;-15
 ;"2014";58;39;43;61;15;-22
Duplek
 ;"2010";51;38;17;17;34;21
 ;"2011";30;35;31;22;-1;13
 ;"2012";45;31;30;24;15;7
 ;"2013";44;32;33;20;11;12
 ;"2014";21;40;28;17;-7;23
Gorenja vas - Poljane
 ;"2010";61;65;30;23;31;42
 ;"2011";48;58;30;19;18;39
 ;"2012";65;51;22;23;43;28
 ;"2013";54;56;24;27;30;29
 ;"2014";60;59;27;25;33;34
Gorišnica
 ;"2010";23;21;17;32;6;-11
 ;"2011";24;15;26;27;-2;-12
 ;"2012";21;12;25;34;-4;-22
 ;"2013";20;18;29;24;-9;-6
 ;"2014";24;24;17;27;7;-3
Gorje
 ;"2010";14;24;14;7;0;17
 ;"2011";16;15;7;15;9;0
 ;"2012";19;10;12;12;7;-2
 ;"2013";17;12;15;10;2;2
 ;"2014";12;16;9;7;3;9
Gornja Radgona
 ;"2010";46;32;40;44;6;-12
 ;"2011";39;33;47;53;-8;-20
 ;"2012";41;32;34;57;7;-25
 ;"2013";42;39;46;40;-4;-1
 ;"2014";32;30;45;43;-13;-13
Gornji Grad
 ;"2010";11;14;31;42;-20;-28
 ;"2011";15;13;18;52;-3;-39
 ;"2012";14;19;30;42;-16;-23
 ;"2013";11;11;23;39;-12;-28
 ;"2014";12;6;32;36;-20;-30
Gornji Petrovci
 ;"2010";8;7;11;19;-3;-12
 ;"2011";11;6;12;18;-1;-12
 ;"2012";12;10;6;15;6;-5
 ;"2013";12;11;18;20;-6;-9
 ;"2014";9;7;13;19;-4;-12
Grad
 ;"2010";6;15;15;16;-9;-1
 ;"2011";8;6;14;16;-6;-10
 ;"2012";10;14;9;11;1;3
 ;"2013";15;3;17;8;-2;-5
 ;"2014";12;9;18;12;-6;-3
Grosuplje
 ;"2010";114;136;60;58;54;78
 ;"2011";140;138;72;75;68;63
 ;"2012";107;119;62;87;45;32
 ;"2013";113;128;70;68;43;60
 ;"2014";128;123;72;61;56;62
Hajdina
 ;"2010";20;22;20;17;0;5
 ;"2011";18;17;13;11;5;6
 ;"2012";22;20;6;13;16;7
 ;"2013";21;22;16;16;5;6
 ;"2014";15;25;17;14;-2;11
Hoèe - Slivnica
 ;"2010";57;63;51;37;6;26
 ;"2011";47;44;58;27;-11;17
 ;"2012";57;47;34;39;23;8
 ;"2013";60;53;48;45;12;8
 ;"2014";54;49;38;35;16;14
Hodoš/Hodos
 ;"2010";3;1;3;2;0;-1
 ;"2011";0;0;3;1;-3;-1
 ;"2012";1;1;1;3;0;-2
 ;"2013";2;2;3;5;-1;-3
 ;"2014";4;4;2;3;2;1
Horjul
 ;"2010";15;21;15;12;0;9
 ;"2011";19;18;14;20;5;-2
 ;"2012";23;23;11;23;12;0
 ;"2013";25;8;27;32;-2;-24
 ;"2014";18;16;18;37;0;-21
Hrastnik
 ;"2010";35;43;61;51;-26;-8
 ;"2011";46;39;59;64;-13;-25
 ;"2012";47;31;42;60;5;-29
 ;"2013";48;34;63;63;-15;-29
 ;"2014";43;41;58;58;-15;-17
Hrpelje - Kozina
 ;"2010";20;20;25;23;-5;-3
 ;"2011";23;26;20;15;3;11
 ;"2012";19;20;15;23;4;-3
 ;"2013";25;18;24;22;1;-4
 ;"2014";19;28;21;12;-2;16
Idrija
 ;"2010";53;62;68;82;-15;-20
 ;"2011";77;80;67;74;10;6
 ;"2012";59;54;70;90;-11;-36
 ;"2013";71;77;72;79;-1;-2
 ;"2014";67;60;70;81;-3;-21
Ig
 ;"2010";42;41;16;22;26;19
 ;"2011";36;36;23;18;13;18
 ;"2012";50;42;23;14;27;28
 ;"2013";46;38;23;21;23;17
 ;"2014";32;44;21;15;11;29
Ilirska Bistrica
 ;"2010";66;67;89;79;-23;-12
 ;"2011";62;74;67;90;-5;-16
 ;"2012";65;55;77;90;-12;-35
 ;"2013";66;78;84;87;-18;-9
 ;"2014";68;58;86;94;-18;-36
Ivanèna Gorica
 ;"2010";103;102;47;50;56;52
 ;"2011";126;96;64;48;62;48
 ;"2012";107;86;66;59;41;27
 ;"2013";134;74;58;52;76;22
 ;"2014";113;113;57;63;56;50
Izola/Isola
 ;"2010";98;114;77;67;21;47
 ;"2011";71;71;77;73;-6;-2
 ;"2012";77;93;99;98;-22;-5
 ;"2013";82;71;85;66;-3;5
 ;"2014";87;77;82;71;5;6
Jesenice
 ;"2010";129;100;113;112;16;-12
 ;"2011";113;95;114;91;-1;4
 ;"2012";114;102;99;98;15;4
 ;"2013";106;102;124;103;-18;-1
 ;"2014";104;103;102;103;2;0
Jezersko
 ;"2010";3;7;2;7;1;0
 ;"2011";4;2;8;5;-4;-3
 ;"2012";3;2;2;4;1;-2
 ;"2013";6;6;3;2;3;4
 ;"2014";1;5;4;3;-3;2
Juršinci
 ;"2010";16;20;10;13;6;7
 ;"2011";11;10;12;8;-1;2
 ;"2012";9;15;7;18;2;-3
 ;"2013";16;12;18;18;-2;-6
 ;"2014";12;11;18;8;-6;3
Kamnik
 ;"2010";207;188;113;119;94;69
 ;"2011";190;215;111;106;79;109
 ;"2012";180;199;132;116;48;83
 ;"2013";163;195;109;126;54;69
 ;"2014";174;181;112;121;62;60
Kanal
 ;"2010";37;26;28;24;9;2
 ;"2011";34;19;22;33;12;-14
 ;"2012";28;23;43;26;-15;-3
 ;"2013";26;28;38;23;-12;5
 ;"2014";28;22;31;28;-3;-6
Kidrièevo
 ;"2010";33;32;36;31;-3;1
 ;"2011";25;37;31;37;-6;0
 ;"2012";35;32;30;23;5;9
 ;"2013";28;33;35;37;-7;-4
 ;"2014";28;30;34;37;-6;-7
Kobarid
 ;"2010";28;15;20;22;8;-7
 ;"2011";23;24;22;21;1;3
 ;"2012";28;20;17;27;11;-7
 ;"2013";29;24;23;11;6;13
 ;"2014";19;15;25;27;-6;-12
Kobilje
 ;"2010";8;3;2;5;6;-2
 ;"2011";4;1;1;4;3;-3
 ;"2012";2;1;2;4;0;-3
 ;"2013";4;8;4;3;0;5
 ;"2014";2;1;1;4;1;-3
Koèevje
 ;"2010";97;100;74;77;23;23
 ;"2011";95;100;87;68;8;32
 ;"2012";102;82;106;80;-4;2
 ;"2013";81;78;87;71;-6;7
 ;"2014";97;77;70;85;27;-8
Komen
 ;"2010";19;20;6;11;13;9
 ;"2011";15;18;17;12;-2;6
 ;"2012";24;25;14;13;10;12
 ;"2013";18;30;15;17;3;13
 ;"2014";20;16;16;18;4;-2
Komenda
 ;"2010";46;52;13;20;33;32
 ;"2011";58;48;12;12;46;36
 ;"2012";39;47;18;21;21;26
 ;"2013";43;30;14;11;29;19
 ;"2014";44;49;12;15;32;34
Koper/Capodistria
 ;"2010";282;252;229;192;53;60
 ;"2011";284;257;242;209;42;48
 ;"2012";285;279;196;209;89;70
 ;"2013";277;234;231;212;46;22
 ;"2014";261;288;212;204;49;84
Kostanjevica na Krki
 ;"2010";10;13;14;12;-4;1
 ;"2011";20;11;5;8;15;3
 ;"2012";15;17;13;14;2;3
 ;"2013";8;12;13;10;-5;2
 ;"2014";18;12;5;6;13;6
Kostel
 ;"2010";5;1;2;4;3;-3
 ;"2011";1;0;4;7;-3;-7
 ;"2012";4;1;4;6;0;-5
 ;"2013";2;1;1;3;1;-2
 ;"2014";4;2;2;4;2;-2
Kozje
 ;"2010";14;21;10;11;4;10
 ;"2011";14;12;17;20;-3;-8
 ;"2012";17;14;18;23;-1;-9
 ;"2013";11;13;33;16;-22;-3
 ;"2014";15;14;17;28;-2;-14
Kranj
 ;"2010";355;316;220;211;135;105
 ;"2011";340;322;213;187;127;135
 ;"2012";338;290;218;204;120;86
 ;"2013";316;335;204;210;112;125
 ;"2014";319;294;221;173;98;121
Kranjska Gora
 ;"2010";27;26;20;24;7;2
 ;"2011";26;15;28;13;-2;2
 ;"2012";22;11;32;20;-10;-9
 ;"2013";18;20;39;40;-21;-20
 ;"2014";25;18;34;41;-9;-23
Križevci
 ;"2010";20;16;28;29;-8;-13
 ;"2011";17;19;20;19;-3;0
 ;"2012";24;14;24;22;0;-8
 ;"2013";17;10;21;20;-4;-10
 ;"2014";11;11;25;17;-14;-6
Krško
 ;"2010";160;136;145;130;15;6
 ;"2011";142;165;124;133;18;32
 ;"2012";151;149;139;133;12;16
 ;"2013";156;149;130;132;26;17
 ;"2014";137;140;118;119;19;21
Kungota
 ;"2010";28;26;24;11;4;15
 ;"2011";18;23;21;15;-3;8
 ;"2012";30;16;14;20;16;-4
 ;"2013";20;18;14;14;6;4
 ;"2014";23;19;14;13;9;6
Kuzma
 ;"2010";10;2;15;19;-5;-17
 ;"2011";11;9;7;14;4;-5
 ;"2012";13;7;16;16;-3;-9
 ;"2013";7;9;13;15;-6;-6
 ;"2014";13;8;14;9;-1;-1
Laško
 ;"2010";68;74;102;95;-34;-21
 ;"2011";76;65;85;75;-9;-10
 ;"2012";66;74;83;95;-17;-21
 ;"2013";60;71;69;77;-9;-6
 ;"2014";61;51;74;99;-13;-48
Lenart
 ;"2010";44;19;51;55;-7;-36
 ;"2011";42;42;52;61;-10;-19
 ;"2012";52;49;58;58;-6;-9
 ;"2013";48;36;54;49;-6;-13
 ;"2014";47;39;51;80;-4;-41
Lendava/Lendva
 ;"2010";36;36;69;70;-33;-34
 ;"2011";36;40;70;73;-34;-33
 ;"2012";44;43;51;83;-7;-40
 ;"2013";32;48;69;68;-37;-20
 ;"2014";39;39;81;77;-42;-38
Litija
 ;"2010";93;81;58;44;35;37
 ;"2011";116;84;63;37;53;47
 ;"2012";81;75;55;35;26;40
 ;"2013";88;82;49;45;39;37
 ;"2014";82;80;72;40;10;40
Ljubljana
 ;"2010";1663;1519;1144;1113;519;406
 ;"2011";1531;1440;1079;1100;452;340
 ;"2012";1597;1487;1071;1201;526;286
 ;"2013";1505;1477;1050;1192;455;285
 ;"2014";1495;1396;1046;1143;449;253
Ljubno
 ;"2010";16;11;12;14;4;-3
 ;"2011";8;17;11;12;-3;5
 ;"2012";18;14;12;13;6;1
 ;"2013";14;11;14;18;0;-7
 ;"2014";17;8;10;13;7;-5
Ljutomer
 ;"2010";58;56;47;74;11;-18
 ;"2011";70;46;66;71;4;-25
 ;"2012";60;35;65;66;-5;-31
 ;"2013";47;45;66;73;-19;-28
 ;"2014";46;49;65;60;-19;-11
Log - Dragomer
 ;"2010";27;20;11;4;16;16
 ;"2011";20;20;4;9;16;11
 ;"2012";17;20;13;8;4;12
 ;"2013";15;13;12;7;3;6
 ;"2014";23;13;17;13;6;0
Logatec
 ;"2010";99;93;49;74;50;19
 ;"2011";87;81;56;66;31;15
 ;"2012";105;96;50;62;55;34
 ;"2013";89;91;53;70;36;21
 ;"2014";97;82;52;58;45;24
Loška dolina
 ;"2010";28;18;10;14;18;4
 ;"2011";24;20;12;4;12;16
 ;"2012";22;21;22;17;0;4
 ;"2013";15;16;14;10;1;6
 ;"2014";15;18;18;13;-3;5
Loški Potok
 ;"2010";7;6;22;14;-15;-8
 ;"2011";6;13;11;27;-5;-14
 ;"2012";11;10;13;21;-2;-11
 ;"2013";12;8;19;20;-7;-12
 ;"2014";7;4;22;29;-15;-25
Lovrenc na Pohorju
 ;"2010";20;19;22;16;-2;3
 ;"2011";19;8;12;17;7;-9
 ;"2012";14;8;12;11;2;-3
 ;"2013";6;21;11;19;-5;2
 ;"2014";12;20;19;14;-7;6
Luèe
 ;"2010";6;7;9;7;-3;0
 ;"2011";7;4;7;4;0;0
 ;"2012";8;7;11;8;-3;-1
 ;"2013";10;7;5;5;5;2
 ;"2014";10;8;7;6;3;2
Lukovica
 ;"2010";42;27;12;12;30;15
 ;"2011";37;41;27;15;10;26
 ;"2012";37;39;13;13;24;26
 ;"2013";30;39;15;12;15;27
 ;"2014";33;44;17;16;16;28
Majšperk
 ;"2010";18;19;20;21;-2;-2
 ;"2011";29;19;23;18;6;1
 ;"2012";24;21;22;19;2;2
 ;"2013";19;15;15;12;4;3
 ;"2014";23;21;13;15;10;6
Makole
 ;"2010";13;6;10;6;3;0
 ;"2011";11;9;16;9;-5;0
 ;"2012";9;16;10;6;-1;10
 ;"2013";9;6;1;8;8;-2
 ;"2014";9;13;4;8;5;5
Maribor
 ;"2010";503;462;562;615;-59;-153
 ;"2011";497;473;565;625;-68;-152
 ;"2012";467;450;573;663;-106;-213
 ;"2013";471;447;570;620;-99;-173
 ;"2014";501;462;583;611;-82;-149
Markovci
 ;"2010";18;29;24;19;-6;10
 ;"2011";24;20;14;13;10;7
 ;"2012";29;16;15;9;14;7
 ;"2013";32;19;24;12;8;7
 ;"2014";20;25;17;15;3;10
Medvode
 ;"2010";96;101;48;86;48;15
 ;"2011";72;97;60;66;12;31
 ;"2012";110;88;65;82;45;6
 ;"2013";83;95;69;63;14;32
 ;"2014";63;79;60;64;3;15
Mengeš
 ;"2010";43;49;33;45;10;4
 ;"2011";46;39;28;53;18;-14
 ;"2012";41;44;30;64;11;-20
 ;"2013";40;37;43;55;-3;-18
 ;"2014";62;48;29;56;33;-8
Metlika
 ;"2010";47;34;50;70;-3;-36
 ;"2011";33;30;48;46;-15;-16
 ;"2012";44;43;61;50;-17;-7
 ;"2013";56;43;50;60;6;-17
 ;"2014";47;43;53;44;-6;-1
Mežica
 ;"2010";17;13;19;16;-2;-3
 ;"2011";15;10;32;19;-17;-9
 ;"2012";11;16;23;13;-12;3
 ;"2013";13;15;20;8;-7;7
 ;"2014";12;15;12;9;0;6
Miklavž na Dravskem polju
 ;"2010";27;19;33;24;-6;-5
 ;"2011";24;31;32;13;-8;18
 ;"2012";28;29;29;18;-1;11
 ;"2013";28;28;23;21;5;7
 ;"2014";36;40;28;21;8;19
Miren - Kostanjevica
 ;"2010";22;21;23;14;-1;7
 ;"2011";25;30;21;16;4;14
 ;"2012";14;32;19;22;-5;10
 ;"2013";14;27;17;14;-3;13
 ;"2014";25;28;25;14;0;14
Mirna
 ;"2010";-;-;-;-;-;-
 ;"2011";-;-;-;-;-;-
 ;"2012";8;11;7;11;1;0
 ;"2013";18;9;11;6;7;3
 ;"2014";15;18;14;13;1;5
Mirna Peè
 ;"2010";29;16;12;8;17;8
 ;"2011";15;16;8;10;7;6
 ;"2012";18;20;7;9;11;11
 ;"2013";23;15;10;9;13;6
 ;"2014";21;16;9;15;12;1
Mislinja
 ;"2010";24;27;22;14;2;13
 ;"2011";24;22;21;20;3;2
 ;"2012";19;37;13;21;6;16
 ;"2013";22;24;21;11;1;13
 ;"2014";26;21;21;23;5;-2
Mokronog - Trebelno
 ;"2010";24;26;19;14;5;12
 ;"2011";17;18;20;14;-3;4
 ;"2012";11;21;22;11;-11;10
 ;"2013";22;17;13;6;9;11
 ;"2014";13;15;11;13;2;2
Moravèe
 ;"2010";37;34;7;15;30;19
 ;"2011";28;29;12;17;16;12
 ;"2012";30;29;21;21;9;8
 ;"2013";36;28;21;17;15;11
 ;"2014";23;30;13;18;10;12
Moravske Toplice
 ;"2010";20;20;35;38;-15;-18
 ;"2011";28;23;32;31;-4;-8
 ;"2012";22;31;37;31;-15;0
 ;"2013";28;25;36;35;-8;-10
 ;"2014";32;21;34;34;-2;-13
Mozirje
 ;"2010";18;17;23;17;-5;0
 ;"2011";15;21;15;15;0;6
 ;"2012";39;20;19;15;20;5
 ;"2013";18;14;26;15;-8;-1
 ;"2014";17;22;14;15;3;7
Murska Sobota
 ;"2010";84;80;87;108;-3;-28
 ;"2011";68;95;97;128;-29;-33
 ;"2012";70;78;88;132;-18;-54
 ;"2013";88;67;111;115;-23;-48
 ;"2014";76;66;91;115;-15;-49
Muta
 ;"2010";16;16;15;4;1;12
 ;"2011";11;22;14;9;-3;13
 ;"2012";16;12;16;12;0;0
 ;"2013";17;21;19;19;-2;2
 ;"2014";22;19;14;7;8;12
Naklo
 ;"2010";32;32;22;20;10;12
 ;"2011";29;35;18;17;11;18
 ;"2012";39;22;25;14;14;8
 ;"2013";29;31;25;22;4;9
 ;"2014";27;16;26;24;1;-8
Nazarje
 ;"2010";19;10;15;12;4;-2
 ;"2011";7;16;11;11;-4;5
 ;"2012";14;15;9;14;5;1
 ;"2013";13;9;16;13;-3;-4
 ;"2014";14;11;8;11;6;0
Nova Gorica
 ;"2010";178;168;142;159;36;9
 ;"2011";193;163;153;166;40;-3
 ;"2012";161;182;185;156;-24;26
 ;"2013";157;154;156;187;1;-33
 ;"2014";155;154;160;191;-5;-37
Novo mesto
 ;"2010";226;237;144;143;82;94
 ;"2011";252;180;155;137;97;43
 ;"2012";220;226;161;161;59;65
 ;"2013";226;186;148;145;78;41
 ;"2014";237;207;169;150;68;57
Odranci
 ;"2010";10;16;9;10;1;6
 ;"2011";8;6;10;9;-2;-3
 ;"2012";14;7;12;9;2;-2
 ;"2013";10;9;7;6;3;3
 ;"2014";11;11;11;5;0;6
Oplotnica
 ;"2010";20;29;13;16;7;13
 ;"2011";14;26;15;15;-1;11
 ;"2012";21;20;12;11;9;9
 ;"2013";28;27;18;17;10;10
 ;"2014";17;27;15;17;2;10
Ormož
 ;"2010";69;54;62;72;7;-18
 ;"2011";64;53;72;79;-8;-26
 ;"2012";62;46;61;74;1;-28
 ;"2013";72;41;81;82;-9;-41
 ;"2014";53;44;66;72;-13;-28
Osilnica
 ;"2010";0;1;2;1;-2;0
 ;"2011";4;2;2;2;2;0
 ;"2012";2;3;4;2;-2;1
 ;"2013";0;0;3;1;-3;-1
 ;"2014";2;0;3;2;-1;-2
Pesnica
 ;"2010";31;46;44;47;-13;-1
 ;"2011";27;36;50;52;-23;-16
 ;"2012";31;48;41;48;-10;0
 ;"2013";36;35;59;49;-23;-14
 ;"2014";26;28;49;45;-23;-17
Piran/Pirano
 ;"2010";66;81;103;72;-37;9
 ;"2011";95;78;91;75;4;3
 ;"2012";79;85;76;93;3;-8
 ;"2013";76;58;103;83;-27;-25
 ;"2014";77;70;63;90;14;-20
Pivka
 ;"2010";35;31;16;24;19;7
 ;"2011";31;33;14;18;17;15
 ;"2012";35;39;37;17;-2;22
 ;"2013";38;32;27;16;11;16
 ;"2014";27;28;24;27;3;1
Podèetrtek
 ;"2010";28;20;23;20;5;0
 ;"2011";13;20;16;11;-3;9
 ;"2012";16;14;17;13;-1;1
 ;"2013";13;18;16;21;-3;-3
 ;"2014";16;16;18;17;-2;-1
Podlehnik
 ;"2010";11;12;8;8;3;4
 ;"2011";3;7;17;13;-14;-6
 ;"2012";5;7;5;7;0;0
 ;"2013";9;7;12;9;-3;-2
 ;"2014";9;7;12;6;-3;1
Podvelka
 ;"2010";11;10;10;12;1;-2
 ;"2011";14;11;17;17;-3;-6
 ;"2012";9;10;18;11;-9;-1
 ;"2013";11;11;13;19;-2;-8
 ;"2014";10;14;13;13;-3;1
Poljèane
 ;"2010";24;28;45;41;-21;-13
 ;"2011";27;20;39;62;-12;-42
 ;"2012";27;20;37;53;-10;-33
 ;"2013";23;13;36;70;-13;-57
 ;"2014";16;20;28;35;-12;-15
Polzela
 ;"2010";20;23;35;61;-15;-38
 ;"2011";28;31;29;54;-1;-23
 ;"2012";35;27;44;42;-9;-15
 ;"2013";32;33;39;51;-7;-18
 ;"2014";26;25;25;55;1;-30
Postojna
 ;"2010";107;91;82;93;25;-2
 ;"2011";109;103;66;75;43;28
 ;"2012";102;87;65;92;37;-5
 ;"2013";100;96;73;67;27;29
 ;"2014";83;89;57;81;26;8
Prebold
 ;"2010";25;34;20;16;5;18
 ;"2011";45;29;31;27;14;2
 ;"2012";27;27;42;36;-15;-9
 ;"2013";40;27;34;30;6;-3
 ;"2014";31;24;32;27;-1;-3
Preddvor
 ;"2010";17;25;26;27;-9;-2
 ;"2011";22;21;21;37;1;-16
 ;"2012";22;19;26;33;-4;-14
 ;"2013";18;10;14;29;4;-19
 ;"2014";25;14;23;37;2;-23
Prevalje
 ;"2010";32;27;48;44;-16;-17
 ;"2011";30;27;52;68;-22;-41
 ;"2012";35;36;35;52;0;-16
 ;"2013";25;31;38;45;-13;-14
 ;"2014";29;31;38;54;-9;-23
Ptuj
 ;"2010";116;97;110;115;6;-18
 ;"2011";115;106;131;139;-16;-33
 ;"2012";139;97;139;134;0;-37
 ;"2013";102;93;118;139;-16;-46
 ;"2014";112;82;116;114;-4;-32
Puconci
 ;"2010";28;17;22;38;6;-21
 ;"2011";37;29;47;40;-10;-11
